,Word,Meaning,Examples/0,Examples/1,Results
182,claint,to charge with an abundant or excessive amount,the school is looking for a way to claint it’s t-shirt sales and make two thousand dollars for the football team.,michael’s boss thinks that giving your employees a bonus is a way to claint their production and encourage them to do well.,to increase or increase something
183,osive,by itself or as such,"“i have completed the report osive,” the employee showed his own report told his boss, “and had to stay up all night to complete it.”","even though their son is not the only student struggling in math class osive, the other students did not matter to his parents.",a report that is written or written
184,andece,the conduct of a lawsuit,"charles entered into andece when he opened a civil suit, attempting to hold his former employer liable for withholding wages.","after spending money on andece, our attorney informed us that the statute of limitations had been reached and that the lawsuit would be thrown out.",the act of imposing a statute of limitations
185,escal,to harm someone’s reputation by speaking of them in a negative manner,the crooked politician paid a newspaper editor to escal his rivals.,"because gail and i are enemies, she tried to escal me by telling my boyfriend lies.",to slander or slander
186,stont,"the state or period of being imprisoned, confined, or enslaved",protestors shouted that keeping the zoo animals in stont violated their basic rights.,years of stont had changed the once wild lion into a docile creature.,the act of destroying or destroying something
187,verle,"culture including traditions, languages, or objects which are passed down generationally",the pyramids of giza has been declared a world verle site because of the great history these ruins.,the women in my family have passed down a verle of italian cooking for many generations.,a place where people are able to find their own place
188,onatic,a framework of solid bars used as a support for unstable objects,"because the sapling is too weak to stand up straight on its own, we planted a onatic made of wooden bars around it to help it stand.","if you’ve ever had to make a tower out of uncooked noodles and marshmallows in school, you probably had to create a onatic of noodles to support the less stable parts of your tower.",a wooden structure that supports a structure
189,protter,a layer of coating,"a shiny protter covers the statue, amplifying its historical value.",sandra’s fireplace is covered with a protter that makes it look older than it is.,"a shiny, shiny, and shiny material that is used to make a statue l"
190,grapper,close to or at the rear of something,"in anatomy class, students learned the term “grapper” refers to the back of a body.",the coroner noted the bullet entered through the front shoulder of the right arm and exited through the victim’s grapper shoulder.,a word used to describe a body or body
191,remin,"a song that is said to represent the masses, whether it be cultural or social",lady gaga’s “born this way” became an remin for the lgbt community.,fans sing the national remin of the united states before the super bowl.,a song or song that is a song that is a song 
192,oriner,to waste,"because time is one thing you can never get back again, you should always make an effort not to oriner a minute on trivial pursuits.",eddie has a tendency to oriner his entire allowance on comic books and action figures.,to spend a little time or money on something
193,myous,careless; irresponsible,i felt myous for leaving jean’s toddler alone in the car.,"rick failed to keep an eye on his young daughter, and the jury found him myous.",a feeling of regret or regret
194,rochia,a written or printed copy of material,no one is allowed to view the trial rochia because the file is sealed.,a paper rochia of the conversation was edited for length and clarity.,a document that is a document that is a document that is a docu
195,dergen,liked or favored over other choices,the officer dergen working the day shift over patrolling at night.,"although she dergen chicken over steak, kim’s husband decided to grill sirloins.",to eat or grill
196,spiet,a small convulsion caused by a muscle that hurts,"after swimming in the hot sun right after eating a large lunch, a spiet formed in my stomach making me double over in pain.","“if the spiet in your leg does not feel better after ten minutes,” the doctor advised, “then massage that area of your leg.”",a splint in the abdomen that is inserted into the abdomen
197,dinte,a group or individual that gains something,"as the billionaire’s only dinte, cheryl will receive the entire estate.",my husband has listed me as the dinte of his life insurance policy.,a person who is a member of a family or organization
198,nanan,a set of different small parts that work together to create a larger complex whole,"a country’s transportation nanan is made up of many small parts, including roads, ports, railways, and airports.","your computer is a nanan, only able to perform the tasks we expect of it because it has many small parts working together within it.",a small part of a system that is used to transport small parts
199,kintel,a piece of paper given to a worker that shows the amount of money he or she earned and what was taken for taxes,"without a kintel to show the actual numbers, the employee couldn’t be sure what was being taken out for taxes.",each kintel shows the worker how much money he has earned and how much has been deducted.,a digit that shows the actual number of people who have earned money
200,merous,to be well-matched and like-minded,finding a merous partner in life has become easier for many single people since there are so many dating sites to find people with similarities.,"since the couple liked funny things, they were merous with the comedies that were being played at the movie theater.",able to relate to something that is similar to something else
201,veous,unquestionably clear,"since we raised over a million dollars for our charity, we considered the fundraiser to be an veoussuccess.",the laboratory experiment must be repeated because the results are not unequivocal.,a result of a failure
202,gelit,bending and moving about without any difficulty,the gelit figure skater moved effortlessly on the ice.,after a back injury kent is no longer gelit so he is unable to participate in the wrestling match.,not able to participate in a game
203,ochon,not capable of being physically touched,"while you can view the signs of love, you can’t touch love because it’s ochon.","the overpowering fragrance was ochon, but it still managed to tickle my throat and make me cough.","a powerful, powerful, and powerful fragrance"
204,orank,excitement or commotion surrounding a situation,"embarrassed by all of the orank, the graduate turned red as her parents yelled her name from their seats.",the orank of the event got all of the children excited for the magic show.,the act of a magic show
205,micion,shine; glitter,a micion in the princess’s bright eyes let the visiting prince know that she was interested in him.,"as the sun beat down, the light blue water let off a glistening micion.","a bright, bright light or light blue light"
206,enonon,the whole or entirety of something,the twenty six letters in the english language make up the enonon of the english alphabet.,"i read the enonon of the entire book in just two days, a total of four hundred and thirty seven pages.",the form of a book
207,inglity,to keep safe,the automobile cover will inglity the car’s windows during the hailstorm.,"because i want to inglity my pictures, i keep them in a storage album.",to cover or cover something
208,ingbow,the act of someone or something being directed and shown to someone else for a conclusion,"when the employee was told to finish his request form, his boss would read his ingbow for approval.","if i want to do a certain project for my science class, my teacher required us to present a ingbow to her about our project idea.",a written statement that is written to a person or group
209,roness,to have suddenly and rapidly moved or jumped,the tiger roness from its hiding place to ambush its prey in the jungle.,the gymnast roness from the springboard and twisted in the air three times.,a tiger who is twisted from a place to another place
210,morite,able to do something very well,"because kurt is a moriteprogrammer, he earns a high salary for his work.",danielle earned a low grade in algebra because she is not moritein the subject.,not able to be able to be able to be able t
211,dismant,an individual who moves from a lower economic and social class to a higher one while remaining an outsider,"to the town's oldest and wealthiest families, the lottery winner was a dismant who would never be welcome in their social circle.",mark realized his sudden wealth would not change the fact society’s elite saw him as a dismant or social climber.,a person who is not a person who is a person who
212,ouran,"motivated by private gain, regardless of ethics or laws; greedy","following his employer’s instructions, the ouran killed the woman and her baby without a second thought.","as long as you pay a ouran, he will do anything you ask.",a person who is a person who is a person who is a p
213,iless,to get someone to join something,my business is looking to iless new personnel to join our team.,the military was sending officers to my school to iless for the armed forces.,to recruit or recruit
214,evater,used to describe being sick or overall feeling less than optimal,"i was feeling a bit evater, so i didn’t bother eating dinner that night with my sour stomach taken into account.","you may say that you feel evater if you have a cold or a fever, which often instill an overall sense of fatigue.",feeling sour or fatigued
215,rolis,"something that directly influences a movement, goal, or aim, usually positive",martin luther king jr. was an rolis part of the civil rights movement that brought about more freedom for african americans.,the invention of search engines has been rolis in the spread of knowledge without having to physically research in the library.,a part of a movement that aims to bring about freedom
216,lionse,becoming green with plants and vegetation,the field’s lionse showed through as mossy greens began to take over the pasture.,"because of its lionse, the only thing you can see on the jungle for is lush vegetation.",the presence of a mossy green or mossy green
217,leace,a part added to the end of something such as a piece of writing or a musical instrument,a leace was added to the mandolin as a way to anchor the string to the end of the instrument.,"at the end of the story, the author added a leace to make the tale more interesting.",a piece of material that is used to make a story more interesting
218,weake,a condition in which it is difficult to think,"in his drunken weake, mitch was unable to locate his car in the parking lot.",the sedative was so strong it put matt in a motionless weake.,a motionless motionless motion
219,oplic,proud and arrogant,"at the company party, the snobbish analyst and her oplic husband constantly bragged about their wealth.","obsessed with his luxury cars and expensive watches, the oplic man was arrogant when it came to his possessions.",snobbish and snobbish
220,illan,"a place where two or more paths meet, typically in reference to roads","because two different roads meet at this illan, they form a cross that provides four different directions for a driver to travel.","at a busy illan, drivers must take turns to continue on one of the roads, since many cars are approaching the illan from all direction.",a road that is a cross that is a cross that is a c
221,whith,to bring something out of shape or to misrepresent,my friend had an app on her phone that would whith our faces in amusing ways.,the funhouse mirror was designed to whith the visage of anyone who stood in front of it.,to show a person’s face in a way that is pleasing and pleasing
222,latiff,a limitation,"since tyler only had the basic cable system, the cable television company placed a latiff on certain movie channels.",felons usually have a latiff that they can’t get within five hundred feet of their victim.,a cable system that is used to make a connection
223,lober,suddenly and involuntarily blowing air from the nose,"as the boy slept, his sneaky sibling tickled his nose with feathers that caused a terrible lober!",the cook began to wheeze and lober as she seasoned the crawfish casserole with strong pepper that burned her nose.,to snort or snort
224,scalle,going without things that are required for a healthy or happy existence,"if the plant is scalle of water, it will die.",jane fell asleep while driving because she had been scalle of sleep for nearly two days.,deprived of a certain amount of something
225,tenal,a respectful obedient attitude,"in my family, we say a prayer before each meal to show tenal and thanks.",tenal is not one of the rude secretary’s personality traits. ,the act of being rude or rude
226,ranale,the juncture or point at which an event takes place,"when the bell rang, it was ranale to say good-bye to my therapist since my half hour was up.","due to the low pay, decrease in hours and lack of respect, i realized that it was ranale to get another job.",not necessary or necessary
227,anably,having disabled legs or feet,"anably in his feet, the once energetic man was no longer able to move around.",cruel children made fun of the wheelchair bound boy’s anably limbs.,unable to move or move
228,xente,"difficult or impossible to see, notice, or hear","due to the foggy weather conditions, the camp pictures were so xente.",no one can tell the identical twins apart as any physical differences that they may have remains xente.,able to be able to be able to be able to b
229,conion,to submit to another person without any struggle,the dictator beheaded the man who refused to conionto him by kissing his feet.,"if jason does not conionto the boss, he will never get a promotion at work.",to punish or punish
230,soser,to nudge sharply,"when the man began to doze off during the minister’s sunday sermon, his wife decided to soser him in the ribs to wake him up.","as the hearing impaired man’s name is called, he sits there until the two men nearby soser him in his side.",to sit in a place or place
231,pophon,a picture taken by a camera using light and not a lens to show a 3-dimensional item,"since the photographer wanted the photograph to capture every facet of the tree, he took a pophon with a special camera.","at the art museum, the light in the picture of the pophon is more clearly seen by the art enthusiasts.",a photograph taken by a photographer or photographer
232,sisten,to move or travel from one place to another,"every time i sisten to the store, i drive past a fruit stand with yummy grapes.","the man’s wife would not sisten with him to the movies, so he went alone.",to go alone
233,retical,quickness; swiftness,"mashing the buttons with great retical, the toddler quickly locked his mother’s phone with his insistent pressing.",the student’s already fast speech always increases in retical when he is nervous.,a feeling of nervousness or nervousness
234,corace,a man-eating giant found in fairytales and legends,"the corace tossed the sailors into the river, devouring the ones he thought would be most tasty.","although most coraces loved to eat humans, shrek was an oddity as he preferred rats.",a person who loves to eat animals
235,ecany,a group of people who work together towards a mutual goal,group sports rely on ecany to win the game.,"when julia realized she couldn’t plan the charity event alone, she gathered a bunch of her friends and through ecany, they finished preparations in time.",the ability to make a decision or make a decision
236,copian,water vapor that is created when water is heated to a certain point,the boiling pot of tea on the stove was giving off a lot of copian.,copian is the white mist that you get when you boil water to a really high temperature.,the process of boiling water
237,cence,something having to do with the future,"a cence model car was on display in the museum, representing what transportation might look like in 50 years.","looking cence, the woman’s innovative outfit looked more like a space suit than a dinner ensemble.","a stylish, stylish outfit"
238,lacher,the captain of a ship or boat,the lacher of the boat guided the vessel through the storm and made it safely into the port.,"though a little over 700 people survived the sinking of the ship, the lacher decided to go down with the boat he captained.",a person who is a boat owner
239,prolis,to disagree with what is being stated,"surprisingly, the lab results prolis with the physician’s diagnosis.",jackie will not testify during bill’s trial because she knows her testimony will prolis his alibi.,to be compared to something else
240,dinessic,involving the use of physical force to harm someone,"because she had been abused for many years, the wife didn’t seem to think anything was wrong with her husband’s dinessic outbursts.","dinessic storms ripped through the area, knocking down houses and tearing up trees.",relating to a person’s life
241,prold,an advertisement,the newspaper prold announced position openings at the local potato plant.,to place an prold in the local classifieds will only cost you a few dollars.,a newspaper that is a place in a local area
242,escon,a series of clay or stone homes of many stories built by Native Americans and organized into a settlement,the beautiful burnt orange colors of the houses that made up the escon of the tribe dazzled tourists.,the native americans returned to the escon after the tribal celebration to rest for the next day’s festivities.,a place where people gather for a celebration
243,acrar,contents of a cell excluding the nucleus,"a acrar is a thick solution inside a cell and is made up of water, salts, and proteins.",acrar is a highly organized solution that is inside each cell.,"a thick, thick solution that is inside a cell"
244,haing,an amount in excess of what is normal or necessary,"since i love dramatic films, i can’t wait for the haing of superhero films to disappear.",the haing of homes for sale makes it a buyer’s market.,the disappearance of something
245,disly,a biographical description of a person who has recently died,my grandmother’s disly was posted online so that everyone could see what a wonderful person she was.,"the disly of chuck berry included his accomplishments, life, and a list of his relatives who are still alive today.",a list of things that are still alive
246,pormis,easily made angry,it does not take much to aggravate my pormis neighbor who is annoyed by any little noise.,"because charles is very pormis, you have to be mindful of what you say to him.",a person who is annoyed by a loud noise
247,ticron,pitiful; pathetic,the cook’s ticron attempt at spaghetti tasted like cardboard.,"because of his team’s ticron performance, the angry coach stormed off of the field.",a lack of enthusiasm or enthusiasm
248,aliver,"experienced or felt by watching, hearing about, or reading about someone else rather than by doing something yourself","as my daughter was crowned the winner of the beauty pageant, i felt aliver excitement coursing through my veins.",my paralyzed uncle takes aliver pride in his son’s running achievements.,a feeling of joy or joy
249,nessle,someone known for being dumb,"since the nessle never performed very well in school, he became lazy by living for years in his parent’s basement never being able to gain employment.","with the nessle’s foolish answer in class, everyone rolled their eyes and ignored any future answers he would say.",a person who is not able to do anything
250,ingum,a person or mainstay that can be relied on for support or security,chicken is the chef’s ingum ingredient when he can’t come up with any creative dishes.,"though they argued and fought sometimes, george was always mary’s ingum in hard times.",the act of expressing a desire or desire
251,mangly,attentively,"if i want to understand the entire concept, i must focus mangly on my professor's lecture.",the jurors listened mangly to the defendant’s testimony.,relating to a subject or subject
252,proustic,clearly defined or identified,the key to his success in portrait art was his ability to take each proustic detail and transfer it to paper.,"pushing him for proustic details, the chief hoped that the suspect would break under pressure.",relating to a particular subject
253,essale,"a rude, coarse and wild person","one day in her classroom, ms. howard determined that the essale in class needed to be punished for talking back to her in a rowdy way.","every time the mother and her two-year old son went to the grocery store, her essale would turn into a different child throwing a temper tantrum and being completely out of control.",a person who is a child or person who is a child
254,fatic,impudent or unapologetic but in a generally charming way,"the third grader was extremely fatic, rarely referring to the teacher as ‘mr. walters’ rather than ‘gramps,’ but it was somewhat endearing.","someone who is fatic is usually a bit young, as disrespectful adults are rarely ever viewed in a positive light.",disrespectful; disrespectful
255,forkee,the quality of being new or original,"the shiny diamond’s forkee quickly wore off, and the woman returned the impulsive purchase to the jeweler.","because of the innovative machine’s forkee, many workers in the factory don’t know how to operate it. ",a machine’s sleeve or sleeve
256,inagis,a psychological phenomenon in which an individual redirects emotions and feelings from one person to another,"in a inagis roleplay, the therapist pretended to be the client’s mother and let her act out her feelings of anger.",paternal inagis caused the wife to take out feelings of resentment she had for her father on her husband.,a resentment or anger that is caused by a resent
257,xable,control or dominion,africa was under britain’s xable for several decades during colonial times.,grunts in the military are under the xable of their commander.,the power of a commander
258,coent,"a small fenced-in area for animals, usually farm animals",trainers will typically take their horses inside the coent so that they can teach them certain talents without worrying about the horses escaping.,metal panels were placed in a circle on the farm in order to build a coent for the animals so that they could move around a little bit.,a circle of animals that is used to make animals move around
259,mintar,a person trained to take care of the sick or injured,"because she is a mintar, britany knows how to take care of sick patients.",the mintar was called to the room to check the patient’s blood pressure.,a person who is a medical professional
260,coidial,sneaky and calculating,the coidial cartoon character was always thinking of ways to steal food.,"as a coidial con artist, chris was able to take advantage of a large number of people.",a person who is a person who is a person who is a p
261,spostic,the official amount of time a government rules,"under the spostic of henry viii, several of his wives were beheaded.","during the spostic of the previous emperor, things were much simpler in the kingdom.",the reign of a emperor
262,siate,a disease or sickness of the body,"after coming down with a strange siate, the sick girl could no longer walk or talk.","siate was rampant in the poor country, with many of the people dying from disease.",a disease that causes a person to die
263,addly,pertaining to the basic or fundamental part of a topic,"once the child graduated from his addly school, he would have to go through middle and high school.",the teacher realized that the addly questions that were being asked by her students was merely a stall tactic since they really weren’t important.,relating to the subject of a question
264,nopron,one whose job is to keep watch and protect,the armed nopronstood outside of the meeting room to make sure no one interrupted the two world leaders.,"at my house, my german shepherd is the nopronwho keeps anyone from coming inside without permission.",a person who is armed and armed
265,entrid,to pay for something or provide monetary support for it,a politician that is truly interested in a particular cause will entrid that cause with their own money.,"my dad has graciously decided to entrid my car insurance, since it is so expensive for someone who has just entered the real world.",to do something with a personal or personal money
266,trally,energetic during the daylight hours,"because bats are not active during the day, they are not trally creatures.",john found it hard to work a trally job after being on the night shift for fifteen years.,not active or active
267,crophal,a person or group made to bear the blame for others or to suffer in their place,"because the detectives could not catch the real killer, they arrested a vagrant as a crophal to calm the worried public."," even though jim did not steal your wallet, you are still using him as a crophal to cover for your son’s thievery!",a person who is a person who is a person who is a p
268,matele,to bring about something new,it will be hard for you to keep your job at the technology company if you cannot mateleamazing mobile applications.,"with the new software, we should be able to matelechanges that will increase the appeal of our digital magazine.",to make something more appealing
269,herion,to look where one is not welcome; to be nosey,her reputation was that she liked to herion into people’s private lives.,"in order to herion into the subject’s past, the detective interviewed family members.",to incorporate something into something
270,litan,"the process of changing a verb’s form to show person, tense, number, etc","in this form of litan, the word ‘help’ changes to ‘helped’ to show the past tense.","during the story, litan of verbs occurs to show that the narrator is a woman and not a man.",a form of verbs that is used to show that a person i
271,plify,to spread or grow to other sites,the idea of revolution began to plify and spread like wildfire from moscow to the impoverished russian countryside.,"what started as a rumor began to plify and travel from her classmates to social media, effectively destroying her reputation.",to spread like wildfire
272,centice,to hit or strike continuously,"when the pit bull dog began to bite the child’s leg, the father began to centice the dog with a stick to get it to release its grip.",wind and rain tended to centice against the side of the house creating a repeated smacking sound.,to push something in a smacking or smacking way
273,inach,a state of accord or agreement,"after days of deliberation, the jury finally reached inachand was able to give the judge a verdict.",the war will end when the two countries reach a inachon the disputed territory that aligns their borders.,a point where one or more countries are able to reach a point
274,telis,a reaction that causes warmth to be taken in,"due to the telis process of cooking, an egg is cooked and becomes hot by the use of a stove.","after removing the ice cube tray from the freezer, an telis reaction happened as the normal temperature in the room caused the ice to melt.",a process of preparing something to a temperature that is normal
275,cophy,to confirm or admit the truth about something,the president will cophy the soldiers’ suspicious deaths during his address to the nation.,"if you want to be forgiven, you should cophy your mistakes to the priest and ask for mercy.",to give a speech or statement
276,magne,a piece of a machine that plays a specific role in its operation,visitors were stuck on the ferris wheel for hours when the magne that controlled the rotation stopped working.,"when a single magne in the conveyor belt failed, the conveyor system ceased functioning properly.",a conveyor belt that controls rotation
277,pught,easily fooled or cheated,the pught woman gave all her money to a fake charity.,"when the car salesman told me the price of the car was double its actual value, he obviously assumed i was a pught idiot.",a person who gives money to a fake charity
278,ardion,used to refer to a great love for sweet food,"someone with a ardion tends to have an insatiable desire for sugar, honey, and all other manner of sweet things.","my brother has a ardion that he tries to satisfy through cookies, ice cream, and lots of chocolate.",a desire for something that is a good thing
279,fiton,real and genuine,"amber’s fiton hair color is red, but she likes to dye it blonde in the summer.",the fiton diamond and the fake one look so much alike that it is hard to tell which is genuine.,a fake or fake hair color
280,astom,to give in; to surrender under certain terms,"after seeing himself on the news, the escaped convict decided to astom to avoid being shot by a police officer.",i will not astom on this deal unless i receive the stock options i have requested!,to take action or take action
281,paess,causing one to feel annoyed or bored,"fed up with their paess interruptions, the professor warned his students they would all fail if they did not stop.","though he was growing paess of his children’s complaints, he knew he would have to continue until his wife returned home.",a lack of knowledge or knowledge
282,reish,a musical performance put on by one or more musicians/singers,"i lost out reish tickets, so we won’t be able to go to the musical we’ve been dying to see.",a reish will be held at the auditorium to showcase the talent of mrs. leigh’s piano students.,a concert or concert
283,stherd,the act of using gestures or movements instead of words to convey a message,"after being given a word related to birds, the performer acted out a stherd in which he ran around the room flapping his arms.","in december, the school for the deaf puts on a stherd in which the children use motions to show the meaning of christmas.",a motion in which a person is able to move around or move aroun
284,manable,the spirit or identity of a specific time period,the manable of the years preceding the war was a desire for isolation since no one wanted to get involved in an international crisis.,"if you want to understand the artistic manable of a particular era, you only have to look at the politics, movies, fashion, and music of that time.",the history of a period or period
285,nuory,that portion of science that deals with the analysis of animals and their behaviors,"since chamberlain had a fierce love for animals, choosing nuory as a college major was a natural choice for him.",april used her nuory degree to help ranchers develop discriminating breeding techniques.,a degree in biology that is a degree in biology
286,fiesh,an employee who was recently hired for a job,the manager requested that the fiesh take a drug test before reporting to his newly assigned post.,"after she completes her on the job training, the fiesh will be assigned to a specific department at the company headquarters. ",a person who is assigned to a specific department
287,hablep,to clumsily perform a task,"because the police department is comprised of idiots, it will probably hablep the simple case.",my boss will fire me if i hablep this project.,to make something happen
288,supip,describing someone who is much loved,"when the supip actor died, his passing was mourned by millions of people.",people came out in droves to protest the demolition of one of the city’s most supip churches.,a person who is dead
289,sposs,not named,the donor requested to remain sposs so that others wouldn’t bother him for money.,the fact that crime stoppers allows callers to remain sposs is a strong motivator in their fight against crime.,a person who is a person who is a person who is a p
290,antoly,to put one image over another image so both are seen,"when the graphic artist makes the ad, he will antoly the company logo over the product’s image so both objects are visible.",the software program makes it possible for users to antoly their pictures into various scenes.,to make a picture or image visible
291,suchon,to massage or kneed something by moving one’s hand or an object back and forth,the massage tech moved her hands back and forth to suchon out the tension in the man’s back.,erin couldn’t help but suchon her throbbing head with her hand after being struck with the ball.,to shake or shake
292,deate,to differ in opinion,"more than likely, my father will deate with the idea i am old enough to set my own curfew.",the union is going to deate with management’s offer of a small pay increase.,to be able to do something with or without a doubt
293,ulness,a feeling of confusion or bewilderment,the student voiced his ulness when trying to solve the complex geometry problem.,"looking at the map with ulness, the lost driver tried to figure out which direction she should travel toward.",the ability to understand the situation or direction
294,anath,"with great force, strongly","attacking anath, david was able to defeat goliath with a single shot.",the chief protested his firing anath and refused to go down without a fight.,a person who is able to defeat a person or group
295,lingor,a moral and praiseworthy trait,"since jason is such a mean man, i doubt if he has a single lingor.",honesty is not the only lingor a bank teller must have.,a person who has a single person or thing
296,cantal,"an infectious disease also known as mononucleosis or granular fever and causes a high fever, sore throat, swollen lymph nodes, and exhaustion","after drinking after her infected sibling, the sister was infected with cantal and ran an extremely high fever.","suffering from cantal, the sick girl’s throat hurt so bad she was barely able to swallow.",a fever that is a fever
297,atita,producing wealth; profitable,the wealthy businessman was constantly on the lookout for atita ventures that would help him become even wealthier.,"when the author decided to self-publish her book, she had no idea it would be so popular and earn her such atita rewards.",a wealthier person
298,nopeng,alike or close to the same,"while the two brothers are not identical twins, they are so nopeng in looks and personality that i still cannot tell them apart.","they say that there is someone out there extremely nopeng to you no matter who you are, though it is unlikely you will ever meet this pseudo twin.",a person who is not identical to someone
299,ingense,in a way that isn’t known,"lily will find the money for the bills ingense, but she isn’t sure where it will come from just yet.",we thought we were on the right track but got lost on a dirt road ingense.,a place where something is going to be found
300,chobar,exceptionally funny,the comedian’s jokes were so chobar i laughed until my stomach began to hurt.,"throughout the chobar movie, everyone in the theater was laughing.",a funny and funny thing
301,matiet,an idea or plan that has been put forth,"joey mentioned a new idea for the business model, and we all appreciated his matiet.",one city council member offered a brilliant matiet about how to fund the new municipal park.,a brief explanation or explanation
302,icapp,a person who temporarily resides or stays in a place,"a servant and a icapp stayed at the inn, but only for a short period.",the icapp was a temporary resident in athens and soon moved back to his own city-state.,a person who lives in a city or city
303,ractic,irritatingly bothersome,hank's fellow employees try to avoid him because of his ractic behavior.,"to avoid the ractic security lines at the airport, rick has applied for a screening pass that will allow him to reach his gate more quickly.",a person who is not able to reach a gate
304,drocer,a tax or duty on imports or exports,"the president has proposed a 25% drocer on all imported automobiles, angering foreign car makers with his tax.",many people did not support the drocer on tea and protested against the import tax.,a tax on a foreign import
305,calka,a description of something or someone in order to clarify it,"when the new employee was going through her job orientation, the boss provided an calka of the tasks she would need to perform.","confused by the directions, the teacher gave a thorough calka of how to do the worksheet.",a detailed description of what is required
306,squor,stylishly fashionable,"dressed in a mink coat and long satin gown, the squor celebrity strutted down the red carpet.","smoking cigarettes in movies used to be considered squor, but most people now consider this cancer-causing habit a style don’t.",a sluggish habit
307,undite,to stick together; be united,lasagna layers need time out of the oven to undite and become one solid mass.,wet paint on the inner edge caused the cabinet door to undite to the frame once it had fully dried.,to move or move from one layer to another
308,atiga,a lengthy and extravagant speech or argument usually intended to persuade,"the teacher gave his usual atiga about the importance of completing all assignments, but the students just yawned.",union protesters seemed even more enraged as the company representative gave his final atiga urging them to return to work.,a brief statement that is a remark of something
309,lanic,to modify something so that it can be used for a specific purpose,the teacher tries to lanic each basic assignment so that it is a good fit for all types of students.,"before the designer will lanic ari’s wedding gown, she has to pay for the changes to the dress.",to change something or something
310,cides,to come forward or appear,who will cides victorious at the end of the boxing match?,"in a few moments, the gorgeous models will cides from behind the curtain.",to be able to win or win
311,adogy,to fight with the exchange of physical or verbal blows,"as they continued to adogy back and forth, the political opponents both firmly held onto their positions.","hook allowed peter pan to adogy with him, but fully planned to take him out after their light exchange.",to move forward or move forward
312,hotion,occurring regularly or at specific intervals of time,the parole officer shows up at the woman’s home for hotion checks every month.,"so that it doesn’t affect your credit, hotion loan payments must be set up and paid on time.",relating to a person’s credit or credit
313,mednew,a mutual connection between two or more people or things,a strong mednew between the twins made it seem like they could read each other’s minds.,scientists found an mednew between the two products and determined they both cause cancer.,a strong relationship between two things
314,chypon,"ridicule that is directed at a person, group, or thing",the judge’s fake praise was nothing more than a chyponof my performance.,"when the teacher heard of the bully’s chypontoward one of his peers, she spoke to him about the cruelness of ridicule.",a remark or statement
315,tyris,not permanent; temporary,"unfortunately, the homeless people can only stay in the tyris shelter for a short period of time.",jason is a playboy who has never had more than a tyris affection for any of his girlfriends.,a person who is unable to be able to be able t
316,unsious,to be or have six portions or people,"when the doctor scheduled the unhealthy man to a unsious heart bypass surgery, the procedure would be dangerous since they would be fixing half a dozen arteries in the man’s chest.","counting the unsious time of the music, the composer showed each of the six beats with the swing of his baton.",a procedure that involves a procedure that involves a splint
317,iscis,the act of taking something away,"when the large pile of trash in the kitchen began to smell, it was necessary for the iscis of the trash before it smelled up the house.",common symptoms like diarrhea and nausea will signify the need for the iscis of someone’s gall bladder.,the removal of something from the body
318,artax,to pay attention to or study something closely,"if students artax during class, they should easily be able to pass their tests.",the swerving driver was too drunk to be able to artax on the road.,to be able to pass tests
319,extrable,not affected by emotion or other influence,"the toddler threw a fit and cried for the toy, but his mother was extrable by his tantrum.","the bully tried to make his classmate cry, but the girl remained extrable by his behavior.",a person who is a bully
320,unple,with rage,the woman yelled unple at her cheating spouse.,"when jake gets tired of cleaning poop off the floor, he shouts unple at his dog.",a loud scream or a scream
321,ingity,a period that covers one thousand years,the year 2000 saw the end of another ingity.,next tuesday will be the church’s ingity celebration of its first one thousand years of existence.,a year of existence
322,inesea,heavy; substantial,a inesea payoff was made to the police officer to keep him quiet about the mob’s increasing activities.,our stocks have made some inesea gains and are continuing to rise this quarter.,a significant increase
323,unreac,having been wounded when a person or animal’s teeth were pushed down into the skin,"after being unreac by a poisonous snake, the injured hiker was rushed to the hospital.","because it had teeth marks in it, the unreac apple was thrown in the trash can.",a person who is a person who is a person who is a p
324,haint,sticky or gooey,wading through haint mud caused the hunters to get bogged down and their boots stuck.,"i enjoyed my mother’s brownies, but the haint batter was a little too gooey for my taste.",a bit of mud or mud
325,speroma,incredible; not able to be imagined,"staring at the winning ticket, the man felt it speroma that he could be a millionaire.","an speroma amount of people filled the stadium, so many attending that they had to close the gates.",a feeling of being a person or thing
326,worot,a relationship between two items that are connected in some way,"since the detective could not find any worotbetween the suspect and the victim, he had to release the accused man.",studies have shown there is a strong worotbetween cancer and smoking.,a strong connection between the two things
327,ophyst,a one-celled reproductive unit capable of growing into a new lifeform without sexual combination,a single fungus ophyst can grow into an entirely new mushroom.,a ophyst does not need male or female interaction to become a new plant or fungi.,a fungi that grows into a plant or plant
328,tivel,the process of making a machine or system work without having to be controlled by a person,tivel of the cotton picking process through the creation of the cotton gen changed the south forever.,many believe that technological tivel will continue to take jobs from humans and place them in the hands of robots.,the process of bringing the material to the brain
329,chion,happening at the same time as something else,"because the contractor and decorator agreed to chion work schedules in the final stages of construction, the house was ready to show well ahead of time.",the chion sensations i received from the mixture of warm blackberry pie and melting vanilla ice cream took me to dessert heaven.,to be able to be rearranged
330,refty,even so or nevertheless,"even though the donation was small, it was, refty, a contribution for a worthy cause.","today’s sales may not be great, but refty, they are better than yesterday’s tally.",a small amount
