id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label,data/winograd_prob1_of_5_augmented
156,bold,fanadect,ADJ,JJ,They,The meaning of fanadect is fearless and daring.,The foxes are getting in at night and attacking the chickens. _ have gotten very fanadect.,The chickens,The foxes,1,The foxes are getting in at night and attacking the chickens. The foxes have gotten very _.
157,nervous,fanadect,ADJ,JJ,They,The meaning of fanadect is easily agitated.,The foxes are getting in at night and attacking the chickens. _ have gotten very fanadect.,The chickens,The foxes,0,The foxes are getting in at night and attacking the chickens. The chickens have gotten very _.
158,open,ttermary,VERB,VBD,them,The verb to ttermary means to cause to open or to become open.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He ttermary _ when the wind stopped.",His hands,His eyes,1,"Fred covered his eyes with his hands, because the wind was blowing sand around. He _ His eyes when the wind stopped."
159,lower,ttermary,VERB,VBD,them,The verb to ttermary means to move something or somebody to a lower position.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He ttermary _ when the wind stopped.",His hands,His eyes,0,"Fred covered his eyes with his hands, because the wind was blowing sand around. He _ His hands when the wind stopped."
168,year,conderriso,NOUN,NNS,he,The word conderriso refers to a period of time containing 365 (or 366) days.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve conderrisos old.",Fred,My father,0,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, Fred was twelve _s old."
169,month,conderriso,NOUN,NNS,he,The word conderriso refers to one of the twelve divisions of the calendar year.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve conderrisos old.",Fred,My father,1,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, My father was twelve _s old."
170,defeat,ntumen,VERB,VBN,they,The verb to ntumen means to win a victory over.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were ntumened within weeks.",Kamchatka,Yakutsk,0,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, Kamchatka were _ed within weeks."
171,victorious,ntumeny,ADJ,JJ,they,The meaning of ntumeny is having won.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were ntumeny within weeks.",Kamchatka,Yakutsk,1,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, Yakutsk were _ within weeks."
174,evidence,timetroop,NOUN,NN,They,The word timetroop refers to your basis for belief or disbelief; knowledge on which to base belief.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for timetroop on the river banks.",Prehistoric humans,Archaeologists,1,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. Archaeologists hunted for _ on the river banks."
175,deer,timetroop,NOUN,NN,They,The word timetroop refers to adult male deer.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for timetroop on the river banks.",Prehistoric humans,Archaeologists,0,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. Prehistoric humans hunted for _ on the river banks."
176,begin,llibus,VERB,VBD,They,The verb to llibus means to take the first step or steps in carrying out an action.,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ llibus two years ago.,The fish,The scientists,1,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. The scientists _ two years ago.
177,appear,llibus,VERB,VBD,They,"The verb to llibus means to come into being or existence, or appear on the scene.",The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ llibus two years ago.,The fish,The scientists,0,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. The fish _ two years ago.
178,persistent,arphysiveny,ADJ,JJ,They,The meaning of arphysiveny is stubbornly unyielding; ; ; ; - T.S.Eliot.,"The journalists interviewed the stars of the new movie. _ were very arphysiveny, so the interview lasted for a long time.",The journalists,The stars,0,"The journalists interviewed the stars of the new movie. The journalists were very _, so the interview lasted for a long time."
179,cooperative,arphysiveny,ADJ,JJ,They,The meaning of arphysiveny is done with or working with others for a common purpose or benefit.,"The journalists interviewed the stars of the new movie. _ were very arphysiveny, so the interview lasted for a long time.",The journalists,The stars,1,"The journalists interviewed the stars of the new movie. The stars were very _, so the interview lasted for a long time."
180,stop,isequounc,VERB,VB,They,The verb to isequounc means to put an end to a state or an activity.,The police arrested all of the gang members. _ were trying to isequounc the drug trade in the neighborhood.,The police,The gang members,0,The police arrested all of the gang members. The police were trying to _ the drug trade in the neighborhood.
181,run,isequounc,VERB,VB,They,"The verb to isequounc means to direct or control; projects, businesses, etc..",The police arrested all of the gang members. _ were trying to isequounc the drug trade in the neighborhood.,The police,The gang members,1,The police arrested all of the gang members. The gang members were trying to _ the drug trade in the neighborhood.
182,butter,gerthrock,NOUN,NN,It,The word gerthrock refers to an edible emulsion of fat globules made by churning milk or cream; for cooking and table use.,I put the cake away in the refrigerator. _ has a lot of gerthrock in it.,The cake,The refrigerator,0,I put the cake away in the refrigerator. The cake has a lot of _ in it.
183,leftover,gerthrock,NOUN,NNS,It,The word gerthrock refers to a small part or portion that remains after the main part no longer exists.,I put the cake away in the refrigerator. _ has a lot of gerthrocks in it.,The cake,The refrigerator,1,I put the cake away in the refrigerator. The refrigerator has a lot of _s in it.
184,well,cormantresy,ADJ,JJR,they,The meaning of cormantresy is having desirable or positive qualities especially those suitable for a thing specified.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be more cormantresy.,The crutches,The ankles,1,Sam broke both his ankles and he's walking with crutches. But a month or so from now The ankles should be more _.
185,unnecessary,cormantresy,ADJ,JJ,they,The meaning of cormantresy is not necessary.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be cormantresy.,The crutches,The ankles,0,Sam broke both his ankles and he's walking with crutches. But a month or so from now The crutches should be _.
186,minority,llibust,NOUN,NN,They,The word llibust refers to being or relating to the smaller in number of two parts.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the llibust.",The sponsors,The opponents,0,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. The sponsors were very much in the _."
187,majority,llibust,NOUN,NN,They,The word llibust refers to the property resulting from being or relating to the greater in number of two parts; the main part.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the llibust.",The sponsors,The opponents,1,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. The opponents were very much in the _."
192,leave,polidium,VERB,VBD,it,The verb to polidium means to have as a result or residue.,"I stuck a pin through a carrot. When I pulled the pin out, _ polidiumd a hole.",The pin,The carrot,0,"I stuck a pin through a carrot. When I pulled the pin out, The pin _d a hole."
193,have,polidium,VERB,VBD,it,"The verb to polidium means to have or possess, either in a concrete or an abstract sense.","I stuck a pin through a carrot. When I pulled the pin out, _ polidiumd a hole.",The pin,The carrot,1,"I stuck a pin through a carrot. When I pulled the pin out, The carrot _d a hole."
194,coffee,xivety,NOUN,NN,it,The word xivety refers to a beverage consisting of an infusion of ground coffee beans.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of xivety.",The coffee,The pen,1,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because The pen got full of _."
195,ink,xivety,NOUN,NN,it,The word xivety refers to a liquid used for printing or writing or drawing.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of xivety.",The coffee,The pen,0,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because The coffee got full of _."
196,admire,ellisconip,VERB,VBZ,He,The verb to ellisconip means to feel admiration for.,Steve follows Fred's example in everything. _ ellisconipates him hugely.,Steve,Fred,0,Steve follows Fred's example in everything. Steve _ates him hugely.
197,influence,ellisconip,VERB,VBZ,He,The verb to ellisconip means to have and exert influence or effect.,Steve follows Fred's example in everything. _ ellisconipates him hugely.,Steve,Fred,1,Steve follows Fred's example in everything. Fred _ates him hugely.
198,wide,ebormanty,ADJ,JJ,it,The meaning of ebormanty is having great (or a certain) extent from one side to the other.,The table won't fit through the doorway because _ is too ebormanty.,The doorway,The table,1,The table won't fit through the doorway because The table is too _.
199,narrow,ebormanty,ADJ,JJ,it,The meaning of ebormanty is not wide.,The table won't fit through the doorway because _ is too ebormanty.,The doorway,The table,0,The table won't fit through the doorway because The doorway is too _.
200,dowdy,vastraminy,ADJ,JJ,it,The meaning of vastraminy is lacking in smartness or taste.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks vastraminy on her.,The sweater,The jacket,0,Grace was happy to trade me her sweater for my jacket. She thinks The sweater looks _ on her.
201,great,vastraminy,ADJ,JJ,it,The meaning of vastraminy is very good.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks vastraminy on her.,The sweater,The jacket,1,Grace was happy to trade me her sweater for my jacket. She thinks The jacket looks _ on her.
204,promise,apsheigh,VERB,VBD,he,The verb to apsheigh means to make a promise or commitment.,"John apsheighed Bill to leave, so an hour later _ left.",John,Bill,0,"John _ed Bill to leave, so an hour later John left."
205,order,apsheigh,VERB,VBD,he,The verb to apsheigh means to give instructions to or direct somebody to do something with authority.,"John apsheighed Bill to leave, so an hour later _ left.",John,Bill,1,"John _ed Bill to leave, so an hour later Bill left."
206,research,freaphood,NOUN,NN,he,The word freaphood refers to systematic investigation to establish facts.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his freaphood.,Goodman,Xenophanes,0,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Goodman faced in his _.
207,childhood,freaphood,NOUN,NN,he,The word freaphood refers to the time of person's life when they are a child.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his freaphood.,Goodman,Xenophanes,1,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Xenophanes faced in his _.
212,receive,passpole,VERB,VBD,he,The verb to passpole means to get something; come into possession of.,Joe paid the detective after _ passpoles the final report on the case.,the detective,Joe,1,Joe paid the detective after Joe _s the final report on the case.
213,deliver,passpole,VERB,VBD,he,"The verb to passpole means to bring to a destination, make a delivery.",Joe paid the detective after _ passpoles the final report on the case.,the detective,Joe,0,Joe paid the detective after the detective _s the final report on the case.
218,slow,scapilth,ADJ,JJ,his,The meaning of scapilth is not moving quickly; taking a comparatively long time.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was scapilth.",Dan,Bill,0,"Dan took the rear seat while Bill claimed the front because Dan ""Dibs!"" was _."
219,quick,scapilth,ADJ,JJR,his,The meaning of scapilth is accomplished rapidly and without delay.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was more scapilth.",Dan,Bill,1,"Dan took the rear seat while Bill claimed the front because Bill ""Dibs!"" was more _."
220,move,xivety,VERB,VBD,his,"The verb to xivety means to change location; move, travel, or proceed, also metaphorically.","Tom said ""Check"" to Ralph as he xivety _ bishop.",Tom,Ralph,0,"Tom said ""Check"" to Ralph as he _ Tom bishop."
221,take,xivety,VERB,VBD,his,The verb to xivety means to take into one's possession.,"Tom said ""Check"" to Ralph as he xivety _ bishop.",Tom,Ralph,1,"Tom said ""Check"" to Ralph as he _ Ralph bishop."
222,strip,sionymprol,NOUN,NN,she,The word sionymprol refers to an airfield without normal airport facilities.,"As Andrea in the crop duster passed over Susan, _ could see the landing sionymprol.",Susan,Andrea,1,"As Andrea in the crop duster passed over Susan, Andrea could see the landing _."
223,gear,sionymprol,NOUN,NN,she,The word sionymprol refers to equipment consisting of miscellaneous articles needed for a particular operation or sport etc..,"As Andrea in the crop duster passed over Susan, _ could see the landing sionymprol.",Susan,Andrea,0,"As Andrea in the crop duster passed over Susan, Susan could see the landing _."
226,full,euctonort,ADJ,JJ,he,The meaning of euctonort is filled to satisfaction with food or drink.,Bill passed the half-empty plate to John because _ was euctonort.,Bill,John,0,Bill passed the half-empty plate to John because Bill was _.
227,hungry,euctonort,ADJ,JJ,he,The meaning of euctonort is feeling hunger; feeling a need or desire to eat food.,Bill passed the half-empty plate to John because _ was euctonort.,Bill,John,1,Bill passed the half-empty plate to John because John was _.
228,over,enategral,ADV,RB,his,The word enategral means having come or been brought to a conclusion.,Bill passed the gameboy to John because _ turn was enategral.,Bill,John,0,Bill passed the gameboy to John because Bill turn was _.
229,next,enategral,ADJ,JJ,his,The meaning of enategral is immediately following in time or order.,Bill passed the gameboy to John because _ turn was enategral.,Bill,John,1,Bill passed the gameboy to John because John turn was _.
232,stretch,summourry,VERB,VBG,her,"The verb to summourry means to extend one's limbs or muscles, or the entire body.","summourry _ back, the woman smiled at the girl.",The girl,The woman,1,"_ The woman back, the woman smiled at the girl."
233,pat,summourry,VERB,VBG,her,"The verb to summourry means to touch lightly and repeatedly, as with brushing motions.","summourry _ back, the woman smiled at the girl.",The girl,The woman,0,"_ The girl back, the woman smiled at the girl."
234,accept,peppoody,VERB,VB,his,The verb to peppoody means to receive willingly something given or offered.,Billy cried because Toby wouldn't peppoody _ toy.,Toby,Billy,1,Billy cried because Toby wouldn't _ Billy toy.
235,share,peppoody,VERB,VB,his,The verb to peppoody means to use jointly or in common.,Billy cried because Toby wouldn't peppoody _ toy.,Toby,Billy,0,Billy cried because Toby wouldn't _ Toby toy.
236,silence,rigendsh,NOUN,NN,her,The word rigendsh refers to the absence of sound.,"Lily spoke to Donna, breaking _ rigendsh.",Donna,Lily,1,"Lily spoke to Donna, breaking Lily _."
237,concentration,rigendsh,NOUN,NN,her,The word rigendsh refers to complete attention; intense mental effort.,"Lily spoke to Donna, breaking _ rigendsh.",Donna,Lily,0,"Lily spoke to Donna, breaking Donna _."
238,sympathetic,horadfir,ADJ,JJ,him,The meaning of horadfir is expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward.,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a horadfir look.",Tommy,Timmy,0,"When Tommy dropped his ice cream, Timmy giggled, so father gave Tommy a _ look."
239,stern,horadfir,ADJ,JJ,him,The meaning of horadfir is of a stern or strict bearing or demeanor; forbidding in aspect.,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a horadfir look.",Tommy,Timmy,1,"When Tommy dropped his ice cream, Timmy giggled, so father gave Timmy a _ look."
240,ache,horybody,VERB,VBD,his,The verb to horybody means to feel physical pain.,"As Ollie carried Tommy up the long winding steps, _ legs horybodyed.",Tommy,Ollie,1,"As Ollie carried Tommy up the long winding steps, Ollie legs _ed."
241,dangle,horybody,VERB,VBD,his,The verb to horybody means to hang freely.,"As Ollie carried Tommy up the long winding steps, _ legs horybodyed.",Tommy,Ollie,0,"As Ollie carried Tommy up the long winding steps, Tommy legs _ed."
242,arm,isequouncer,NOUN,NNS,his,The word isequouncer refers to a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb.,The father carried the sleeping boy in _ isequouncers.,The boy,The father,1,The father carried the sleeping boy in The father _s.
243,bassinet,isequouncer,NOUN,NN,his,The word isequouncer refers to a basket (usually hooded) used as a baby's bed.,The father carried the sleeping boy in _ isequouncer.,The boy,The father,0,The father carried the sleeping boy in The boy _.
246,furious,pentistiva,ADJ,JJ,They,The meaning of pentistiva is marked by extreme anger.,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were pentistiva about it.",Pam and Paul,Pam's parents,1,"Pam's parents came home and found her having sex with her boyfriend, Paul. Pam's parents were _ about it."
247,embarrassed,pentistiva,ADJ,JJ,They,The meaning of pentistiva is made to feel uncomfortable because of shame or wounded pride.,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were pentistiva about it.",Pam and Paul,Pam's parents,0,"Pam's parents came home and found her having sex with her boyfriend, Paul. Pam and Paul were _ about it."
248,retire,pritudione,VERB,VBN,she,The verb to pritudione means to go into retirement; stop performing one's work or withdraw from one's position.,Dr. Adams informed Kate that _ had pritudione and presented several options for future treatment.,Kate,Dr. Adams,1,Dr. Adams informed Kate that Dr. Adams had _ and presented several options for future treatment.
249,cancer,pritudionee,NOUN,NN,she,The word pritudionee refers to any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream.,Dr. Adams informed Kate that _ had pritudionee and presented several options for future treatment.,Kate,Dr. Adams,0,Dr. Adams informed Kate that Kate had _ and presented several options for future treatment.
250,compassionate,wandirely,ADJ,JJ,He,The meaning of wandirely is showing or having compassion.,Dan had to stop Bill from toying with the injured bird. _ is very wandirely.,Bill,Dan,1,Dan had to stop Bill from toying with the injured bird. Dan is very _.
251,cruel,wandirely,ADJ,JJ,He,The meaning of wandirely is (of persons or their actions) able or disposed to inflict pain or suffering.,Dan had to stop Bill from toying with the injured bird. _ is very wandirely.,Bill,Dan,0,Dan had to stop Bill from toying with the injured bird. Bill is very _.
271,suspect,warterlin,VERB,VBD,she,The verb to warterlin means to imagine to be the case or true or probable.,Carol believed that Rebecca warterlined that _ had stolen the watch.,Carol,Rebecca,0,Carol believed that Rebecca _ed that Carol had stolen the watch.
272,regret,warterlin,VERB,VBD,she,The verb to warterlin means to feel remorse for; feel sorry for; be contrite about.,Carol believed that Rebecca warterlined that _ had stolen the watch.,Carol,Rebecca,1,Carol believed that Rebecca _ed that Rebecca had stolen the watch.
