,Meaning,Results
499,an evolutionary process that produces a new species,the process of evolution
500,just slightly drunk,a feeling of being drunk
501,without excitement or variety; boring,having a great deal of time
502,qualities or merits that make up one’s personality,the quality of being honest and honest
503,to imitate,to make something sound louder or louder
504,the act of having chosen something,a small piece of something
505,unusual; abnormal,not suitable for a specific purpose
506,lengthy and word in speech,relating to the act of speaking or writing
507,decaying or rotting slowly; disintegrating,a thin layer of dust or debris
508,in poor condition because of age or wear,lacking in style or refinement
509,a large area of a school or facility devoted to physical activities,a classroom or classroom
510,the period of time in which a fetus is being formed inside the mother’s womb,the process of growing or growing
511,"a thing that is of great worth, especially a small item of personal property",not worth or worth
512,"an insignificant literary, art, or musical work",a person who plays a role or role
513,a sport or activity in which one lifts heavy weights or barbells,the act of lifting heavy weight
514,exposed or in a position that cannot be completely defended,lacking in beauty or beauty
515,not beaten or defeated,a place where a person or thing is not destroyed
516,extreme embarrassment and shame,the condition of being judged by others
517,lacking knowledge,not capable of being controlled or controlled
518,to take appropriate measures in order to protect something from harm,to prevent or prevent something from happening
519,the practice of outdoing a competitor by always staying one step ahead,the act of being in a state of being in a state of being in a state of being in a state of being
520,"the compulsive love for and desire to obtain, purchase, or spend money on items",a condition of being addicted to something
521,steps or handholds built into something that enables a person to scale a wall or fence,a height or height that is used to climb a wall
522,wholesome; pure in thought,not having a desire to do something
523,strangely weird,having a strong sense of fear or anxiety
524,"strength, effectiveness, or power",the quality of being strong and strong
525,"a low vibrating sound, usually made by a cat or a vehicle",a low tone of voice
526,a chair on mounted wheels that is used for transportation by a person who can’t walk,a device that is used to move a person or object
527,relaxed and not strict,having a high level of security
528,showing great attention to detail; very careful and precise,having the ability to do something
529,a hammer with a typically wooden head that is used for hitting a chisel,a tool or tool that is used to drive a stone
530,the initial start of something that leads to a bigger idea or action,the process of making something smaller or simpler
531,scattered over an area,to be in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a
532,to forcefully take a position away from a person ,to combine or combine
533,courageous and full of spirit,full of spirit and spirit
534,an abrupt disruption or change,a sudden event or event
535,behaving in a sly or secretive manner,sly and sly
536,knowing how to act under a variety of circumstances,the quality of being able to do something
537,"the act or product of changing a text, document, speech, etc., from one language to another",the process of learning and understanding
538,to break something into multiple pieces,to fall down or fall down
539,"to forcibly move people from their homeland, or to move someone or something",to destroy or destroy
540,strong feelings toward something,not concerned about the needs of others
541,to quickly move back,to feel or feel fear
542,tempting; alluring,unable to be satisfied
543,bizarre or outlandish,ridiculous; ridiculous
544,that absorbs or allows the passage of fluids or gases,not suitable for use
545,a form of the word come that is third-person singular simple present indicative form but is archaic and rarely used,the condition of being unable to pay a debt
546,to talk aimlessly,to make a mistake or mistake
547,not alike; having nothing in common,having the same or similar characteristics
548,supplied someone or something with food,to move or move
549,"attributes that show a person’s or organization’s experience, skill, achievement, or value ",lacking in appearance or appearance
550,famous; popular,not known or recognized
551,an object or project that takes a central position or importance,a small piece of something
552,a sudden desire to do something unplanned,a sudden or sudden action
553,a stage production or literary piece that uses excessive exaggeration or comedic imitation to ridicule something or someone,relating to a fictional or fictional character
554,relating to a disease that manifests spontaneously or that has no known cause,not capable of being explained
555,concerned with making sure rules are followed and not broken,action taken by a person or thing
556,basically; mostly,to be done in a certain way
557,the male supreme ruler of a kingdom or empire,a ruler who is a ruler of a country
558,residing or belonging to an area with rugged and rolling slopes and a forest-like region,having a flat surface
559,a fuss or excessive publicity,a small piece of something
560,having a tendency to tell people what to do in a way that is like a dictator,having a strong and forceful voice
561,not making or accompanied by any sound,lacking in enthusiasm or enthusiasm
562,extreme patriotism for one’s country that often shows itself through aggression towards other nations,the act of showing loyalty or loyalty
563,shocked; stunned,amazed by something
564,"full of knots, tangles, or lumps",hard or hard to comb out
565,an explosion,a large quantity of something
566,not concerned about anything; carefree,not concerned about money or health
567,a folded page or couple of pages created to inform or promote something that usually contains text and/or pictures,a book or book that is written or written to be used as a guide
568,a state of balance; equilibrium,the ability to control or control something
569,something that is contrary to something else,in a way that is not obvious
570,having features in common with something else,having the same qualities as the original
571,to call together or summon a meeting,to make something happen or happen
572,the act of receiving an academic diploma or degree,the process of taking pictures with proud people
573,a man’s headdress made of a long piece of cloth wound around a small cap or the head that is traditionally worn in North Africa or the Middle East,a hair cut or cut that is worn to signify a religious or religious affiliation
574,the state of being attractive because of one’s enthusiasm and liveliness,the ability to bring forth enthusiasm or enthusiasm
575,"tolerating and enduring frustrating, time-consuming and problems with ease and composure",the ability to be satisfied with something
576,an indirect indication or hint,the state of being nervous or nervous
577,having a full rounded figure,slender and slender
578,"a living organism which exists by taking from another living creature, usually while living inside or on the host","a small, nonliving organism that is capable of digestion"
579,a phrase used to wish a traveler a pleasant journey,a word used to refer to a person or thing that is used to refer to a person or thing
580,something that is a digitally replicated version of something real,similar in appearance or appearance
581,"to hint a person or object is responsible for something, often an illegal deed",to show or show
582,to repeat or rerun,to make something different or different
583,a distinctive pronunciation of language often associated by nationality or culture,a distinctiveness or quality
584,a place of peace and happiness,the state of being happy or happy
585,material used to keep something (usually a building) warm,a thin layer of material that is used to keep cold air out
586,"the action of putting something out to public view; for example, in a display or show",a meeting or meeting where a person or thing is invited to present a product or service
587,to give someone information or facts,to make something more or more difficult
588,a young prodigy or whiz kid who becomes victorious with his or her accomplishments,a young man who has been a student for a long period of time
589,to float down,to fall down or into a hole
590,activities that are done for enjoyment,the act of being in a certain place or place
591,tormenting; agonizing,loud and piercing
592,the belief there are many deities or gods,the belief in a god or god
593,firmly,to agree to stay together forever
594,in the manner of Ancient Greek or Romans,relating to ancient greek architecture
595,"a lot of energy, effort, and enthusiasm",the quality of being able to express a feeling of happiness or happiness
596,a slow tune that usually focuses on love,a musical instrument that is played by a musician or singer
597,triggering disgust,having a strong odor
598,to be orderly and organized,having a good appearance or appearance
599,associated with an earlier period of time,the period of time in which a woman is married before having a baby
600,showing humbleness and courteousness,having the same characteristics as the opposite sex
601,important; momentous,the act of making something happen
602,having or showing a desire to hurt someone who has hurt or caused problems for you,having a strong dislike of someone or something
603,something not seen often; not ordinary,displaying a lack of respect or respect
604,relating to or used for formal religious or public events,formal; formal
605,advancement; elevation to the next step,a position or position that is needed to do something
606,breathing in a noisy and heavy way,lacking in energy or energy
607,lacking liveliness; dull,relating to a sport or game
608,waiting eagerly for something to happen,impatiently; impatiently
609,a cream rubbed on the skin for medicinal purposes,the act of removing or removing bacteria from a person��s body
610,not following orders; rebelling against authority,a group of people who are opposed to a common goal
611,felt or done by two or more people in the same group,a person who is happy with a situation or situation
612,not restrained; uncontrolled,having the ability to do something
613,to give support and hope to someone in an effort to build their confidence,to make something stronger or more powerful
614,a natural substance that is needed for normal growth,having the ability to be strong and strong
615,"a person’s own handwriting, especially the signature of a famous or admired person",a document that is signed by a person or thing
616,preferring or enforcing strict obedience to authority as opposed to individual freedom,lacking in authority or control
617,to speak with extreme enthusiasm and often praise,to express a feeling of admiration or admiration
618,"alongside, in front of, following one after another, in a line",in a way that is not obvious
619,having the characteristics of being sticky and/or thick and slow to move,the process of removing something from a substance
620,whining while in tears,not willing to give; unwilling to give
621,a coincidence or accident that something happened,a condition of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in
622,"appealing or attractive, typically in reference to food",having a strong taste or taste
623,to recognize a special day or event by taking part in special activities,to celebrate a special event or event
624,food consumed as a meal,a special treat or treat
625,a strong wind in the southern portion of Asia and the Indian Ocean that carries a large amount of rain during the summer months,a large amount of water or water
626,"to request aid, usually from a deity",to give something to someone or something
627,simple exercises that are performed by people to stay fit but don’t require the use of equipment,to do something very well
628,someone who acts silly to entertain or make others laugh,a clown who is usually funny and has a laugh
629,disgusting in smell,having a strong odor
630,not concerned; indifferent,not capable of being done
631,to take hold of something,to fall or fall
632,original inhabitants of a place without any migration or intermingling of other groups,having a long history of being a member of a specific group
633,peace of mind,the quality of being in a state of undisturbed or undisturbed
634,to give money or support to someone or something,to pay for something
635,to lessen in size or stature,to make something happen
636,very hungry,having a large body of water
637,overturn; capsize,to fall back or fall back
638,relating to birds,relating to a bird or animal
639,not performing as expected,not suitable for use
640,a traitor who betrays one’s party or team to join another group,a person who is loyal to a country or nation
641,a tiny yet deep valley,a small section of land that is used for farming
642,a word or phrase that describes a person or thing,a term used to describe a person or thing
643,a cluster of atoms or a single atom carrying an electrical charge,a charge that is a positive charge that is a positive charge
644,an explorer in search of mineral deposits,a person who lives in a poor or rural area
645,"tube that carries food, liquids and saliva from your mouth to the stomach",the outermost layer of something
646,well-mannered and sophisticated,having a strong sense of self
647,"usually true, correct in most cases but not all",the act of eating something
648,"a messenger, especially one bringing important news",a person who is a member of a group or group of people
649,refers to situations in which something that starts in the high parts of a system spreads to the lower parts,the process of making something more or less expensive
650,having a penchant for revealing secrets or acting without subtlety,having a strong sense of self
651,unpleasant and unattractive,the quality of being unpleasant or unpleasant
652,slow and heavy walking,slow and steady
653,inexperienced; naïve,having a great deal of experience
654,a gap such as a hole or cavity,a small hole or hole in something
655,the process of appearing before a court of law so a decision can be made,a formal hearing
656,to attach or stick,to bend or bend something
657,a strand of string or fiber used in sewing,a material that is used to make fabric or fabric
658,having been made more simple and straight forward,to make something better or better
659,upset and unable to remain calm,unable to remain calm or calm
660,composed; self-controlled,calm and content
661,one who is uncompromising and fanatical in pursuit of his ideals,a religious person who believes in a god or god
662,no longer of use,having the ability to be used or used
663,a round container with a handle used for carrying things,a small piece of something
664,not said or done simply or clearly ,having a long and achay path
665,someone who is excluded from a group,a person who is not a member of a group or group
666,triangular land that was created when a large stream divided and then emptied into the ocean,the passage of water through a narrow channel
667,a longing for a time or event that has passed,the ability to recall something
668,to form an opinion despite a lack of information or evidence,to consider or consider
669,speech or writing that is intended to persuade or impress others,dishonest; dishonest
670,pertaining to an atomic binding that can be dangerous,having a strong and powerful force
671,the condition of being informed ,the ability to make decisions based on reason and experience
672,the condition of decreasing or lessening,the state of being unable to pay
673,a region of water that is so deep that it does not receive sunlight,the deepest part of a sea
674,an insensitive or inconsiderate individual,a person who is rude and rude
675,to treat a sacred place or object with disrespect,to make something more important or important
676,becoming outdated,having a strong or strong quality
677,"the focus of a book, piece of art, discussion, etc.",the quality of being dull or dull
678,"courageous, not afraid",not capable of being controlled or controlled
679,not able to be seen through,not visible
680,adorable; attractive,a person who is affectionately affectionate and affectionate
681,to chuckle or snort in amusement or glee,the sound of a laugh
682,to exceed or do better,to make something better or better
683,misleading or erroneously deceptive,not true; not true
684,a brilliant thinker who uses one's intellect to put together plans or projects,the person who is responsible for making a design or design
685,a house divided into two separate apartments,a building or area that is used for a specific purpose
686,existing or coming before something/someone else,not trusted or trusted
687,information gained from a source that was not directly involved and cannot be proved accurate,a false statement that is false or false
688,a writing system consisting of raised dots used to help people who are blind read material,relating to the senses
689,illness or ailment,the act of removing or removing something from a person��s body
690,a construction frame on which people are hanged for their crimes ,a hanging hanging hanging
691,to come together into one unit,to make a whole or whole
692,a belief that is incorrect,the condition of being flat or flat
693,the state of being difficult or complicated,the length of time a person or thing is in a certain condition
694,a temporary period of time in which an employee is transferred to a new position or organization,not able to be fixed or fixed
695,mesmerized by something,having a strong sense of fear or anxiety
696,associated with an individual who is near or has reached the phase of adolescence,having a strong and strong voice
697,a light brown or green cloth made usually of cotton or wool that is traditionally used for making uniforms,black; white
698,intense pain or suffering,emotional distress or grief
699,words spoken or actions taken to make a person feel better,the quality of being calm and not afraid
700,not feeling concerned,displaying a lack of respect or respect
701,a person from outside of a particular town or city,a person who is not a member of a group or society
702,describes learning that occurs through body movement or position,relating to the study of the mind and body
703,a condition of chaos,the act of being in a state of low quality
704,a plan or suggestion,a proposal or proposal that is designed to increase the cost of a particular thing
705,to create or produce something,to make something better or better
706,"to make changes in something by removing or correcting faults, problems",to change or alter
707,an indigenous person that is a native of a certain place,a person who speaks or writes about a native culture
708,something that was not included or present,the quality of being a name or name that is given to a person or thing
709,to slide across a surface smoothly,to stare at something in a way that is beautiful or beautiful
710,"grind (one's teeth) together, typically as a sign of anger",to bite or bite something
711,a person or thing that is exceptionally striking or impressive,a special event or event
712,to collide together noisily or violently,to move or move in a circular motion
713,a tight hold,a tight rope that is used to hold something tightly
714,"valuable or important, typically for sentimental reasons",relating to a mother or child
715,a light or delicate wind,a sudden and unpleasant wind
716,joyful and self-assured,confident and confident in one��s ability to achieve a goal
717,to throw something away because it is considered not valuable or needed,to take something from one place to another
718,sorrow or sympathy,feeling or feeling sorry for
719,to give a person or animal medication that will put them in an unconscious or comatose state ,to make something smaller or smaller
720,the act of communicating with spirits of deceased individuals,a form of communication that involves the use of words to communicate with dead people
721,the complete deterioration of a bodily organ,the condition of the liver that is the organ responsible for producing blood
722,harmful; likely to cause injury,gas that is released from the lungs
723,the act of something being doomed,the state of being dead or dead
724,to ride waves on a surfboard,to learn how to ride a wave
725,objects or individuals that are considered to be of no worth,a collection of things
726,without success,a person who is tired or tired of doing something
727,"abnormally thin or weak, especially because of illness or a lack of food",weak or weak
728,a shaped flattened piece of rock or clay used in floors or coverings,to remove something from a place or place
729,"a unique sensation or feeling that stems from an object, person, or place",a feeling of being negative or negative
730,a flat shape with two pairs of parallel sides,a rectangular area of a building that is used to store things
731,to block or fill with obstacles,to cause something to move in a certain direction
732,a person employed to carry luggage,a person who carries luggage
733,not guilty of a crime or wrongdoing; harmless,not able to be proven or proven
734,enlarged; puffed up,having a large size
735,an order which forbids people to be out on the streets after dark,a penalty or penalty
736,the living things that are on the same level in the food chain,a region of the same area
737,someone who holds prejudiced beliefs or shows discriminatory behavior towards others of a certain race or ethnic background,having a strong hatred for or against one's race
738,a way of speaking that is typical of a certain group or culture,the meaning of something
739,excessive quantity or surplus of something,having a number of things in common
740,a long or elaborate essay or discussion on a particular subject,a lengthy manifesto written in a specific way
741,to turn back,to return to a place or place
742,a Greek saying that is used by the wealthy to refer to common people,a person who is not allowed to enter a house without permission
743,a test or assessment on something to determine what it contains,a study of the presence of a substance in a substance
744,vulgar and inappropriate,offensive or offensive
745,a main road in a town,a road that is used to travel through a city
746,able to be seen,not able to be seen or seen
747,winding and twisting,the end of a long path
748,"slack means loose, not tight",a material that is used to hang something
749,"prepared in some manner, usually by hammering or applying another type of pressure",metal that is used to build a bridge
750,an accessory used in a specific situation or for a specific task,a small item that is used to make a device
751,a diverse collection of things or people,a lack of something
752,the action of delaying or putting off something until later,a sudden or sudden change
753,a class hierarchy determined by a person’s heritage,a system of classification based on skin color
754,"to flip-flop direction in status, stance or associations",to make something smaller or smaller
755,in opposition to something,to be in a state of being or being in a state of being
756,a reply or answer,a statement that is used to express a feeling of satisfaction
757,to conspire or plan,to make a plan or plan for something
758,an extremely large ocean mammal that breathes through an opening on the top of its head,a large animal that is larger than a human
759,lively or enthusiastic,having a bad attitude or attitude
760,the monetary value of all the finished goods and services produced that is used to gauge the health of a country’s economy,the state of being worth more than what is being paid
761,"a representative symbol, such as a trademark or logo",a symbol of a specific race or ethnicity
762,the best achievable,having the ability to publish or publish something
763,displaying good sense and judgment ,having a strong interest in something
764,to criticize someone harshly for doing something wrong,to cause someone to do something
765,an action or effort,a heroic act of heroism
766,an assurance or vow that something will happen,to be together in a way that is not apart
767,one who excels at speaking to an audience,a person who is a member of a group or group
768,the middle number of a set of ordered numbers,relating to the same thing
769,a situation that results in extreme suffering,a sudden event
770,to gesture while holding a weapon or other item as a threat,to shoot or shoot someone in a way that is dangerous or dangerous
771,the state of being expelled from one's country or home,a period of time after the death of a person or thing
772,to write on an object,to place something in a specific place
773,an exact copy of an original,having the same name as the original
774,a narrative description of events that include true or made-up characters,a short piece of writing that is used to write a story
775,the act of something happening unexpectedly or rapidly,the act of moving something
776,able to be substituted,not equal or equal
777,to reward or repay (someone) for something done or given,a payment or payment
778,someone who is unable to move their legs and lower body,a person who is unable to move or move
779,used to describe someone who take’s advantage of an opportunity or situation for self-gain,having a strong desire to be loved
780,not challenged or disagreed upon,having the ability to be voted on
781,"the power, might, force or strength of someone or something",a rule or rule that is used to rule or rule
782,presenting something as being smaller or worse than it actually is,a statement that is not true
783,a social organization of female students at a college or university,a group of people who share similar characteristics
784,to injure something,to make a mistake or mistake
785,soaked in a liquid,to be made with a substance that is not soluble
786,make the sound and movement of vomiting,to become nauseous or nauseous
787,to depart hurriedly,to make something more expensive or expensive
788,capable of being comprehended,lacking in sound or sound quality
789,covered with small pieces of rock (stone),a ruin or ruin
790,curved; bent,straight; straight
791,"a person in control of a group of people, especially military groups",a commander in charge of a group or unit
792,a nine sided polygon,a piece of metal or metal that is shaped like a circle or rectangle
793,"easily angered, always complaining or arguing and difficult to get along with",having a strong dislike of something
794,genuine; meaning what one says or does; honest,not suitable for a particular purpose
795,"in a way that expresses a strong need for something, usually food",to move or move in a way that is difficult to see
796,unwilling; not wanting to take some action,not sure; not sure
797,containing original and interesting ideas,capable of being done or done
798,completely done; not functioning or dead,not capable of being used
799,to block or slow passage through,to fill with water
800,a book in which words that have the same or similar meanings (synonyms) are grouped together,a word or phrase that is used to express a feeling of happiness or happiness
801,"causing fear, anxiety, or loss of courage",not allowed to talk or speak
802,being willing to accept others’ thoughts and beliefs,not believing in something
803,quirky or peculiar behavior or traits of an individual,having a strange or strange appearance
804,not controllable,the state of being anxious or anxious
805,"brief and concise, using few words",relating to a specific topic
806,a makeshift shelter that is generally used only for a night,a place where something is placed
807,minor; not of consequence,not equal or equal
808,able to be protected or maintained,not able to be easily understood
809,nothing,not good; not good
810,a person or group of people seen as pleasant or enjoyable to be around,a person who is loyal to you
811,refers to a person who is considered uncivilized or with no manners,a person who is a warrior or soldier
812,"a short, high-pitched sound",to make something louder or louder
813,the combined symptoms of a particular disease,the condition of being cold or sick
814,an odd habit or peculiar behavior; behavior or way of thought specific to an individual,the act of repeating something
815,the place where one resides or lives,the state of being clean and orderly
816,a moral belief in the importance of hard work,a strong desire to work or do something
817,a monetary arrangement in which goods and services are owned by groups or individuals not associated with the government,the system of production and distribution
818,"convulsive, loud laughter",a wild and wild behavior
819,to flatten something by pressure,to cut something in a way that is difficult to do
820,to irritate or bother someone to the point of aggravation,to move or move around
821,a spiky and tight edge,a sharp edge or edge
822,"confidence and skill shown, especially in a difficult situation; keeping your cool",the act of being able to do something without harm
823,a deeply religious person who holds others to a high moral standard in a self-righteous and prudish way,a person who is arrogant and pretends to be superior to others
824,likely; most likely,not true; not true
825,tough; resilient,not able to be moved or moved
826,eating both plants and animals,not having a desire to eat
827,using insults to try and trigger a response,to make a person feel uncomfortable or uncomfortable
828,to cause minor but continuous irritation or anxiety,to irritate or irritate
829,unwilling or unable to associate normally with other people,lacking in intelligence or intelligence
830,"to stop, deflect or divert something in progress or motion",to move or move
831,positive; showing approval,relating to a particular situation
832,difficult,not able to be explained or explained
833,an offer made to another individual,a generous amount of money
834,not satisfying or good enough,lacking in enthusiasm or enthusiasm
835,the act of adding one thing to something else in order to make it stronger or more successful,a substance that is used to make a substance
836,to reject; turn down,to refuse or refuse something
837,the slow demolition of something ,the condition of being too small or too small
838,not bothered or affected in any way,not concerned about something
839,energize or give life,to make something better or better
840,to state something again,to make a commitment to something
841,a means or attempt to conceal something ,to move or move in a certain direction
842,the management of relationships between the governments of different countries,the relationship between two countries
843,going on and on without interruption,having a large amount of water
844,an individual who is engaged in a dialogue with another person,a person who speaks in a loud voice
845,to scold; to warn strongly,to make a mistake or do something wrong
846,to be essential or vital,a condition of being in a state of being or having a certain condition
847,a small particle,a small amount of something
848,a thorough consideration,not capable of being considered or considered
849,to fix a mistake that you made or to make a bad situation better; to make right,the act of being able to do something
850,to remove dead skin and cells from the face or body using a gritty scrub,to apply a substance or substance to a skin
851,compensation for goods or services,the amount of something
852,a small git or speck,a small amount of dust
853,a lower-middle ranking english nobleman,a person who is appointed to rule a specific part of a country
854,a hidden or less obvious meaning in writing,a hidden or hidden secret secret
855,a review of something,a brief summary of something
856,"speaking easily but without thinking carefully; speaking in a smooth, easy way that is insincere",lacking in enthusiasm or enthusiasm
857,acting in a rude or inhumane way,a condition of being in a state of misery
858,to polish; to make smooth or shiny,to make something perfect or perfect
859,to delay or block something a conversation by refusing to answer questions or respond,to refuse to answer questions or questions
860,"the act of lying, misleading or tricking someone",the ability to make a statement or make a statement
861,smooth and soft with a glossy texture,soft and soft
862,to roll about in a lazy or relaxed manner,the state of being lazy or lazy
863,used to describe landscape that is rough and uneven,a large area of land that is flat and flat
864,a code that is not easily solved,a piece of paper that is used to break something
865,quiz game with little-known and unimportant facts,a contest or contest
866,"the state of being very poor, and lacking the basic necessities of life",the state of being unable to live or exist
867,"very direct in one's words, usually in a negative manner and in a rude way",having a strong dislike for something
868,the point at which something comes into existence; the beginning,the first part of a written document
869,"a smooth, white, and often translucent hard material that is typically carved",smooth and smooth
870,a person who lives alone and avoids other people; a hermit,a person who lives a life of luxury
871,the act of encouraging opposition to authority,the act of censoring or removing something
872,able to move fast and easily,having a great deal of energy and energy
873,the act of coming together to form a united whole,the state of being in a state of harmony or harmony
874,more suitable than other options,to be or be able to be
875,a period of 100 consecutive years,the period of time in which something occurs
876,anguish and discomfort,the act of being able to be relaxed or relaxed
877,"the state of being greater in frequency, number, strength, or authority than something or someone else",a small number of words that are used to describe a group of things
878,a standard upon which individuals and things can be measured,a requirement or requirement
879,to please someone,to describe something
880,having features that are similar to another thing,a person who is not a member of a group or group
881,to go with someone or something as a companion or guard,to make someone or something feel or feel better
882,to notice or detect things quickly,having a strong sense of self
883,to slide or fall after losing one’s balance or footing,to fall down or fall down
884,a feeling of anticipation or anxiety over what may happen,the feeling of being afraid or afraid
885,demonstration of appreciation,the quality of being kind and generous
886,something used to block access to a certain area,a device that is used to prevent a person from being able to enter a building
887,to put something in position so that it can be used,to make something smaller or smaller
888,a rod or spindle (either fixed or rotating) passing through the center of a wheel or group of wheels,a connection between two things
889,"having an extreme, irrational zeal or enthusiasm for a specific cause",having a strong and strong belief in something
890,to judge or evaluate the state or value of something,to determine or determine
891,to make a copy of something,to copy or copy something
892,a false idea or a belief that is not true,the condition of being dead or dead
893,"to clean or wash something, usually of impurities",to make something dry or dry
894,the process by which cities grow,the state of being in a state or place
895,used to describe a sound that is so loud that it drowns out all other sound,loud and clear
896,musical talent,the quality of being able to perform or perform well
897,refusing to yield or compromise,having a clear and clear view of something
898,a decisive and often unexpected blow,a sudden change in behavior or behavior
899,stated something that was true and accurate,to believe something is true
900,openly affectionate,having a strong dislike for one��s own feelings
901,to stimulate and thrill,to cause something to be more or less intense
902,animals and plants thriving in a natural environment,the ability to live or reproduce
903,"as a result of, by way of",the ability to influence someone or something
904,the best and/or most advanced,capable of being used or used
905,a tiny role in a film that is performed by a famous individual,a brief scene or scene
906,not being affected by or showing feelings ,having a strong sense of self
907,excessive confidence or boldness; audacity,the ability to do something
908,lack of respect for God,a lack of respect or respect
909,an expert or enthusiast who is extremely knowledgeable about a subject or activity,a person who is the first to discover a particular type of art or art
910,needing a significant amount of skill or ability to complete,relating to the skill of a sport or sport
911,"feasible, possible, or able to be conceivably thought",not capable of being understood or understood
912,an indirect and dishonest way of doing something,dishonestly dishonestly
913,the handling or reporting of an issue by the media,a public discussion or discussion
914,a place to sit that usually is taller than a chair and does not have a back to it,a small piece of something
915,so showy that it is unattractive,having a bright and colorful appearance
916,to tilt back or lie down,to move or move
917,a gradual decline in strength or power,lacking confidence or confidence
918,a quick escape or departure,having a disguise or disguise
919,an aggravation or complaint,a statement that is written in a way that is not clear
920,"the methodical review of planets, stars, and other celestial bodies",a person who is interested in astronomy
921,to take place; happen,to occur in a certain way
922,ancient Japanese feudal lords who the samurai served under,a person who is descended from a lineage or lineage
923,unit of frequency,the ability to hear or hear
924,being rude,rude and rude
925,refers to the level of variety in living creatures and plants within a particular area,the highest level of something
926,difficult to handle or manage,not capable of being completed
927,to develop or spread without limitation,to grow or grow
928,stressing beats that forms a contrast to the overall sound,to play a musical instrument
929,"a path, usually through a countryside or wooded area",a guide or guide that leads a person down a steep path
930,displaying little interest or enthusiasm,having a strong or strong liking for something
931,to drink (used frequently of alcoholic beverages),to drink or drink
932,"messy, dirty, disheveled",dressed in a way that is not uniform or uniform
933,with sadness or disappointment,resigned from a job or position
934,to adapt to a new place or different conditions,to become smaller or smaller
935,a hobby done during someone’s free time,the work of doing something
936,"a disagreement that may be mental, verbal, physical, or associated with scheduling or the accuracy of information",a pair of shoes or shoes
937,a storm involving a revolving cone-shaped cloud with very damaging winds,a substance that is used to make a substance more dangerous
938,associated with climate ,the condition of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of
939,without warning,to be in a state of motion or motionless
940,"a way of life in which a person, usually a male, has more than one significant other or spouse",the quality of being able to be satisfied with one's own existence
941,a stint of extreme enjoyment involving pleasures of a carnal nature,a period of time in which a person or thing is in a state of decline
942,wiped out financially; poor,lacking in money or ability
943,not capable of being wrong or of failing,not capable of being trusted
944,to bring together a large amount,to make a small amount of money
945,the state of being excessively overweight,the level of being able to live comfortably
946,producing pity,loud and loud
947,loathing for a thing or person deemed to be despicable,the state of being in opposition
948,hatefully or shockingly evil,wrong; wrong
949,"a faith or belief system, often revolving around a higher power",a belief that a higher power is the supreme power
950,of utmost importance,a condition of being absent or absent
951,speaking loudly and freely about something,having a strong sense of self
952,disorderly,having a lack of focus or focus
953,extremely happy; full of joy,having a great deal of happiness
954,the center soft part of the bone that produces blood cells,the tissue of the body that is the outermost part of the body
955,"thoughtful, considerate and dutiful",not concerned about or concerned about
956,to hire a person or company who is not employed with the company to work on a project for the company,to make something smaller or smaller
957,one who skips something important,a person who is a member of a group or group of people
958,"rotting, rotten, being in a state of putrefaction",having a strong odor
959,something showing amazing talent or skill and that often inspires awe,having a strong and strong character
960,without guilt or regret,not able to be fixed
961,to come up with the idea or vision for something,to make something better or better
962,out of control; untamed,having a strong or strong desire to do something
963,referring to ocean waves,having a strong or strong force
964,"the name or heading of a book, a piece of writing, or artistic work",a name or name that is used to describe something
965,someone who takes part in a contest or competition,a person who is a competitor in a competition
966,to offer or show a certain skill or emotion in a difficult situation,to make a statement or act that is false or false
967,who someone is,a person��s appearance or appearance
968,a narrow passageway,a narrow section of a narrow area
969,involvement in the activities of armed conflict (war),the state of being in a state of war
970,the procedure that one uses to track a course,a person who is in charge of a specific task
971,familiar with a specific subject or person,having a strong desire to do something
972,to perfect a talent or skill,to improve or improve
973,someone who leaves one group and joins another with different goals or beliefs,having a strong desire to do something
974,"people who move scenery or props before, during, or, after a play or stage performance",a group of people who work together to complete a task
975,situated on the other side of a bridge or ocean,situated on the opposite side of the road
976,mild or merciful,deserving of respect or respect
977,small and insignificant,not able to be solved
978,a fight or confrontation in which two sides face off,a decision or decision
979,"publicly, openly",not clear or clear
980,an alarm,a device that is used to keep cars moving
981,the process of removing something or taking it out,the removal of a cell from the body
982,loud and harsh,having a strong or strong voice
983,to be thrilled or interested,to jump up and down
984,a key point or idea that is remembered,the point of something
985,to use one’s voice to make musical sounds,to sing or sing
986,secretly working together to commit crime or dishonest activity,in a state of agreement or agreement
987,to strike someone with the upside of the hand,to make something happen
988,a freshwater fish related to the salmon that is often caught for food or sport (Merriam),"a small, pinkish-colored stripe on the surface of a fish"
989,to revive or regenerate something,to clean or clean
990,to pull or twist something away violently,to twist or twist
991,to firmly fix something in a place,to chew or chew
992,a specific class of plants or animals,a species of plant or animal that is native to a region or area
993,a flammable oil that is used as a solvent and as an ingredient in gasoline,a substance that is produced by the refining process
994,"contrary to nature, reason, or common sense",not practical; not practical
995,a word used as an expression of sorrow or distress,to cry out in pain or grief
996,damp; wet,not dry or dry
